Ticker,Sector,Industry,ForwardPE,TrailingPE,PriceToBook,ROE,DebtToEquity,MarketCap
AAPL,Technology,Consumer Electronics,32.93679,35.97359,42.57201,1.4875101,78.445,4572794322944.0
MSFT,Technology,Software - Infrastructure,21.299555,27.854595,8.394023,0.34039003,29.118,3712698548224.0
GOOGL,Communication Services,Internet Content & Information,24.045721,17.759398,6.961254,0.48676,18.859,4333065732096.0
AMZN,Consumer Cyclical,Internet Retail,26.569765,22.08206,5.365549,0.30558002,45.617,2960627335168.0
NVDA,Technology,Semiconductors,17.37413,34.244648,27.75217,1.14288,6.555,5424535306240.0
META,Communication Services,Internet Content & Information,16.851542,22.318129,6.166873,0.29848,42.997,1508378279936.0
BRK-B,Financial Services,Insurance - Diversified,24.189291,15.529762,0.0010463981,0.121199995,17.142,1125446320128.0
TSLA,Consumer Cyclical,Auto Manufacturers,148.06036,304.24072,14.9388485,0.046669997,18.373,1297742299136.0
LLY,Healthcare,Drug Manufacturers - General,25.499748,39.842403,33.95796,1.02286,162.071,1057346617344.0
V,Financial Services,Credit Services,24.20491,30.851065,19.210386,0.6119,67.821,676804624384.0
JPM,Financial Services,Banks - Diversified,14.296802,15.311348,2.6879787,0.17789,,950354706432.0
UNH,Healthcare,Healthcare Plans,18.144506,30.676712,3.528871,0.14152999,69.211,369687396352.0
WMT,Consumer Defensive,Discount Stores,34.102272,39.383804,9.4404125,0.24132,74.816,890111131648.0
JNJ,Healthcare,Drug Manufacturers - General,21.063578,30.039396,7.347239,0.25742,57.709,624742039552.0
XOM,Energy,Oil & Gas Integrated,14.461898,25.764309,2.4261253,0.12584,15.921,634342670336.0
PG,Consumer Defensive,Household & Personal Products,19.700766,22.022657,6.3533354,0.30290002,64.49,338879086592.0
MA,Financial Services,Credit Services,24.47131,30.965347,88.01595,2.41202,439.583,493149782016.0
ORCL,Technology,Software - Infrastructure,13.500274,25.174658,11.27454,0.53376,388.87,423486849024.0
HD,Consumer Cyclical,Home Improvement Retail,22.067064,25.257103,25.554756,1.2838,459.356,354594619392.0
CVX,Energy,Oil & Gas Integrated,14.387335,17.955727,1.9272727,0.12231,18.959,365956726784.0
MRK,Healthcare,Drug Manufacturers - General,13.471761,102.864,6.9218345,0.06961,128.408,317570056192.0
ABBV,Healthcare,Drug Manufacturers - General,15.085324,69.50282,-73.247986,,,434781519872.0
COST,Consumer Defensive,Discount Stores,41.830956,47.629147,25.42572,0.29152,60.257,420338106368.0
PEP,Consumer Defensive,Beverages - Non-Alcoholic,15.483759,18.220184,8.593682,0.51508,238.949,189901324288.0
BAC,Financial Services,Banks - Diversified,11.927443,14.588914,1.6056632,0.111990005,,441731907584.0
KO,Consumer Defensive,Beverages - Non-Alcoholic,24.685371,26.141142,10.361862,0.42054,115.519,374536896512.0
AVGO,Technology,Semiconductors,21.901974,71.41236,23.209984,0.37280998,74.018,2035102646272.0
TMO,Healthcare,Diagnostics & Research,21.591543,31.952662,4.169211,0.13515,80.575,219629895680.0
CSCO,Technology,Communication Equipment,25.321075,40.476665,9.791952,0.25229,67.541,478608392192.0
MCD,Consumer Cyclical,Restaurants,19.6137,22.315447,-189.8202,,,195019653120.0
ACN,Technology,Information Technology Services,11.967272,14.046363,3.371386,0.24406,25.035,107530461184.0
CRM,Technology,Software - Application,12.424987,22.33372,4.6108947,0.16908,124.282,157854056448.0
ADBE,Technology,Software - Application,9.648606,15.172196,9.187306,0.62953997,61.443,105420972032.0
ABT,Healthcare,Medical Devices,17.782827,34.88997,3.6499982,0.10576,63.212,186552631296.0
LIN,Basic Materials,Specialty Chemicals,25.013311,31.652456,5.8773155,0.18400998,68.947,225871069184.0
NFLX,Communication Services,Entertainment,19.421698,23.314465,10.238917,0.49541,55.236,308714471424.0
DHR,Healthcare,Diagnostics & Research,22.020092,36.499107,2.7372136,0.07605,52.97,143943417856.0
AMD,Technology,Semiconductors,31.265461,123.306114,11.734601,0.10196,6.361,789073100800.0
TXN,Technology,Semiconductors,27.49487,43.477203,14.504892,0.35176,78.036,261261885440.0
NKE,Consumer Cyclical,Footwear & Accessories,18.156565,19.857143,4.160016,0.22138001,74.289,61861900288.0
PM,Consumer Defensive,Tobacco,20.675596,26.039835,-34.423462,,,295466336256.0
WFC,Financial Services,Banks - Diversified,11.043716,12.681685,1.6402225,0.12575,,263843938304.0
DIS,Communication Services,Entertainment,14.05833,21.63093,1.6494764,0.0801,39.404,181146730496.0
INTC,Technology,Semiconductors,49.354008,,5.8557525,-0.10715,48.997,512722567168.0
COP,Energy,Oil & Gas E&P,12.92456,15.556878,2.162068,0.1418,35.639,141289308160.0
NEE,Utilities,Utilities - Regulated Electric,19.159473,19.022472,3.0907698,0.11677,161.676,176578068480.0
PFE,Healthcare,Drug Manufacturers - General,9.255288,35.210526,1.7904456,0.05014,74.253,152523259904.0
CAT,Industrials,Farm & Heavy Construction Machinery,26.345171,36.23881,19.96042,0.56972003,232.783,387133603840.0
VZ,Communication Services,Telecom Services,8.912052,12.255209,1.881497,0.15842,184.081,195523723264.0
IBM,Technology,Information Technology Services,18.00999,21.054125,6.4887333,0.34460998,188.97,223549652992.0
UNP,Industrials,Railroads,20.71533,23.754457,8.962028,0.39696,150.772,174141358080.0
INTU,Technology,Software - Application,11.88764,19.844418,4.3242707,0.22496,33.448,88967905280.0
GE,Industrials,Aerospace & Defense,40.779667,43.69303,21.768131,0.48231998,113.225,383981125632.0
AMAT,Technology,Semiconductor Equipment & Materials,31.551332,50.76648,17.903301,0.39692003,30.399,428055298048.0
NOW,Technology,Software - Application,24.945118,78.049995,10.315546,0.14244,67.538,129108688896.0
HON,Industrials,Conglomerates,24.667177,9.469616,4.2096534,0.46577,185.369,78033797120.0
BA,Industrials,Aerospace & Defense,56.705097,84.02151,30.381025,1.73537,790.875,185278545920.0
QCOM,Technology,Semiconductors,16.35283,19.184,6.4149504,0.33754003,55.21,176252993536.0
SPGI,Financial Services,Financial Data & Stock Exchanges,20.16781,24.81398,3.8200364,0.14255,42.98,120334409728.0
AMGN,Healthcare,Drug Manufacturers - General,17.029804,25.50869,19.007631,0.91473,490.281,222321246208.0
RTX,Industrials,Aerospace & Defense,28.399708,39.196835,4.5285277,0.12274,57.02,300590497792.0
LOW,Consumer Cyclical,Home Improvement Retail,16.60464,18.864021,-13.516704,,,125233930240.0
SYK,Healthcare,Medical Devices,20.229269,35.096275,5.6560616,0.16508,64.391,130042773504.0
GS,Financial Services,Capital Markets,14.042627,16.050797,2.8369687,0.16902,725.381,302704689152.0
PLD,Real Estate,REIT - Industrial,41.163,31.216038,2.4369297,0.07749,63.823,136248336384.0
ELV,Healthcare,Healthcare Plans,13.302185,17.419355,1.9044768,0.11133,68.953,85489876992.0
BKNG,Consumer Cyclical,Travel Services,17.324923,23.798002,-15.072403,,,161110999040.0
BLK,Financial Services,Asset Management,17.725008,27.245026,3.0572445,0.122779995,23.192,184636325888.0
MDT,Healthcare,Medical Devices,13.592246,23.367292,2.2558105,0.098409995,58.214,111568740352.0
TJX,Consumer Cyclical,Apparel Retail,28.025858,31.332039,17.14043,0.6125,136.307,178255101952.0
AXP,Financial Services,Credit Services,16.948816,20.698847,6.712809,0.34377,172.38,230219874304.0
ISRG,Healthcare,Medical Instruments & Supplies,31.382265,43.49139,7.3787446,0.17423001,,135719305216.0
SYY,Consumer Defensive,Food Distribution,15.711471,23.030054,17.545795,0.77692,561.403,40336441344.0
CB,Financial Services,Insurance - Property & Casualty,12.03596,12.40914,1.7923254,0.14822,30.941,135149551616.0
LMT,Industrials,Aerospace & Defense,17.971022,21.695572,15.4228525,0.89165,234.238,135693426688.0
GILD,Healthcare,Drug Manufacturers - General,13.49249,,13.975033,-0.2068,223.465,165174444032.0
REGN,Healthcare,Biotechnology,13.049481,19.419659,2.4812803,0.14043,8.535,80753778688.0
ZTS,Healthcare,Drug Manufacturers - Specialty & Generic,10.598866,11.853182,9.269039,0.64911,293.996,30024828928.0
MO,Consumer Defensive,Tobacco,11.654952,14.389473,-42.772213,,,114126987264.0
MMC,Unknown,Unknown,,,,,,
DE,Industrials,Farm & Heavy Construction Machinery,27.309977,35.21441,6.1149254,0.18349001,376.022,167585267712.0
ADI,Technology,Semiconductors,25.887691,58.11177,5.628888,0.09639,25.81,189929848832.0
C,Financial Services,Banks - Diversified,10.478689,14.563107,1.1765937,0.08529,,226453962752.0
AMT,Real Estate,REIT - Specialty,24.644945,27.87399,21.613428,0.33914003,438.721,80396746752.0
PGR,Financial Services,Insurance - Property & Casualty,13.235699,10.798897,3.6464474,0.34943,24.428,125186785280.0
SCHW,Financial Services,Capital Markets,13.789991,19.599272,3.7262778,0.20273,151.106,187130970112.0
SO,Utilities,Utilities - Regulated Electric,18.824318,22.33494,2.8147585,0.114829995,182.058,106627153920.0
BSX,Healthcare,Medical Devices,14.340598,19.963564,2.8615367,0.15338999,50.151,71461511168.0
PANW,Technology,Software - Infrastructure,88.26326,313.67242,10.691701,0.048309997,7.698,296545878016.0
CI,Healthcare,Healthcare Plans,8.43914,11.682796,1.7478329,0.16758,74.29,74645291008.0
ADP,Technology,Software - Application,20.250118,24.823421,17.895918,0.72239,91.436,107785330688.0
FI,Unknown,Unknown,,,,,,
GPN,Industrials,Specialty Business Services,5.403974,40.81517,0.9896007,0.02428,98.273,22788935680.0
VRTX,Healthcare,Biotechnology,22.958508,28.908508,6.2070045,0.23542999,9.767,125734363136.0
MU,Technology,Semiconductors,5.659457,19.841059,9.8365755,0.66638,6.33,991121571840.0
KLAC,Technology,Semiconductor Equipment & Materials,30.249126,53.980927,44.409325,0.87496,96.88,258839986176.0
LRCX,Technology,Semiconductor Equipment & Materials,27.01467,54.053818,36.78521,0.65066004,33.049,389585403904.0
SNPS,Technology,Software - Infrastructure,24.072784,95.19222,2.612986,0.03824,35.574,79653486592.0
